name,links,images
Scikit-Opt,"['https://codecov.io/gh/guofei9987/scikit-opt/branch/master/graph/badge.svg)](https://codecov.io/gh/guofei9987/scikit-opt)', 'https://d1wqtxts1xzle7.cloudfront.net/67649721/tcc_thibor_final-with-cover-page-v2.pdf?expires=1639140872&signature=ldzovsago0mlmlvsqjnzpllrhlyt5wdidmbjm1ywog5bsx6apyre9ahuwfnfnc96uvam573wihmev08qlk2vhrcqs1d0buenbt5fworuq6ptdomsxmpbb-lgtu9etimb4sbyvcqb-x3c7hh0ec1fojz040gxjpwdali3e1tdocgrnoabzmgniyx6akfizaaxmiqev3418~870bh4ioqxoapie6-23lcol-32t~fsjsorenolukcosv6uhpourkgsrufay-c2hbuwp36ij7coh0jsto1e45dvgvqndvshz7tmei~0upgh-a8mwzq9h2elcbcn~unq8ycxoa4tukfpcw__&key-pair-id=apkajlohf5ggslrbv4za)']",['https://codecov.io/gh/guofei9987/scikit-opt/branch/master/graph/badge.svg']
Self-supervised learning,['https://codecov.io/gh/lightning-ai/lightning-bolts/branch/master/graph/badge.svg?token=o8p0qhvj90)](https://codecov.io/gh/lightning-ai/lightning-bolts)'],['https://codecov.io/gh/lightning-ai/lightning-bolts/branch/master/graph/badge.svg']
Lucent,['https://img.shields.io/coveralls/github/greentfrapp/lucent.svg)](https://coveralls.io/github/greentfrapp/lucent)'],['https://img.shields.io/coveralls/github/greentfrapp/lucent.svg']
lightly,"['https://codecov.io/gh/lightly-ai/lightly/branch/master/graph/badge.svg?token=1neavrok3w)', 'https://assets.researchsquare.com/files/rs-1516950/v1_covered.pdf?c=1654486158)']",['https://codecov.io/gh/lightly-ai/lightly/branch/master/graph/badge.svg']
Pattern,['https://img.shields.io/coveralls/clips/pattern/master.svg?style=flat)](https://coveralls.io/github/clips/pattern?branch=master)'],['https://img.shields.io/coveralls/clips/pattern/master.svg']
spammy,['https://api.codacy.com/project/badge/coverage/e2cb32eae16242f795f498d40d0d8984'],[]
KoNLPy,"['https://img.shields.io/coveralls/konlpy/konlpy.svg', 'https://coveralls.io/r/konlpy/konlpy']",['https://img.shields.io/coveralls/konlpy/konlpy.svg']
Rosetta,"['http://en.wikipedia.org/wiki/rosetta_stone), the ancient egyptian tablet discovered just over 200 years ago. the tablet contained fragmented text in three different languages and the uncovering of its meaning is considered an essential key to our understanding of ancient egyptian civilization. we would like this project to provide individuals the necessary tools to process and unearth insight in the ever-growing volumes of textual data of today.']",[]
PySS3,['https://codecov.io/gh/sergioburdisso/pyss3/branch/master/graph/badge.svg)](https://codecov.io/gh/sergioburdisso/pyss3)'],['https://codecov.io/gh/sergioburdisso/pyss3/branch/master/graph/badge.svg']
PyStanfordDependencies,"['https://coveralls.io/repos/dmcc/pystanforddependencies/badge.png?branch=master', 'https://coveralls.io/r/dmcc/pystanforddependencies?branch=master']",['https://coveralls.io/repos/dmcc/pystanforddependencies/badge.png']
jellyfish,['https://coveralls.io/repos/jamesturk/jellyfish/badge.png?branch=master)](https://coveralls.io/r/jamesturk/jellyfish)'],['https://coveralls.io/repos/jamesturk/jellyfish/badge.png']
CLTK,"['https://codecov.io/gh/cltk/cltk/branch/master/graph/badge.svg', 'https://codecov.io/gh/cltk/cltk']",['https://codecov.io/gh/cltk/cltk/branch/master/graph/badge.svg']
Rasa,['https://api.codeclimate.com/v1/badges/756dc6fea1d5d3e127f7/test_coverage)](https://codeclimate.com/github/rasahq/rasa/)'],[]
Dedupe,['https://github.com/dedupeio/dedupe/workflows/tests/badge.svg)](https://github.com/dedupeio/dedupe/actions?query=workflow%3atests)[![codecov](https://codecov.io/gh/dedupeio/dedupe/branch/main/graph/badge.svg?token=aaukurtegh)](https://codecov.io/gh/dedupeio/dedupe)'],['https://github.com/dedupeio/dedupe/workflows/tests/badge.svg)](https://github.com/dedupeio/dedupe/actions?query=workflow%3atests)[![codecov](https://codecov.io/gh/dedupeio/dedupe/branch/main/graph/badge.svg']
Snips NLU,"['https://codecov.io/gh/snipsco/snips-nlu/branch/master/graph/badge.svg', 'https://codecov.io/gh/snipsco/snips-nlu']",['https://codecov.io/gh/snipsco/snips-nlu/branch/master/graph/badge.svg']
RexMex,['https://codecov.io/gh/astrazeneca/rexmex/branch/main/graph/badge.svg?token=cygaejra0z)](https://codecov.io/gh/astrazeneca/rexmex)'],['https://codecov.io/gh/astrazeneca/rexmex/branch/main/graph/badge.svg']
ChemicalX,"['https://codecov.io/gh/astrazeneca/chemicalx/branch/main/graph/badge.svg', 'https://codecov.io/github/astrazeneca/chemicalx?branch=main', 'https://arxiv.org/pdf/2111.02916v4.pdf). implemented methods cover traditional smiles string based techniques and neural message passing based models.', 'https://chemicalx.readthedocs.io/en/latest/), each covers an aspect of chemicalx’s functionality.']",['https://codecov.io/gh/astrazeneca/chemicalx/branch/main/graph/badge.svg']
Shapley,"['https://codecov.io/gh/benedekrozemberczki/shapley/branch/master/graph/badge.svg', 'https://codecov.io/github/benedekrozemberczki/shapley?branch=master', 'https://arxiv.org/abs/2101.02153). in addition, the framework comes with a [detailed documentation](https://shapley.readthedocs.io/en/latest/), an intuitive [tutorial](https://shapley.readthedocs.io/en/latest/notes/introduction.html), 100% test coverage, and illustrative toy [examples](https://github.com/benedekrozemberczki/shapley/tree/master/examples).']",['https://codecov.io/gh/benedekrozemberczki/shapley/branch/master/graph/badge.svg']
