name,links,images,coverage badge,coverage
scikit-opt,['https://codecov.io/gh/guofei9987/scikit-opt/branch/master/graph/badge.svg)](https://codecov.io/gh/guofei9987/scikit-opt)'],https://codecov.io/gh/guofei9987/scikit-opt/branch/master/graph/badge.svg,,92
lucent,['https://img.shields.io/coveralls/github/greentfrapp/lucent.svg)](https://coveralls.io/github/greentfrapp/lucent)'],https://img.shields.io/coveralls/github/greentfrapp/lucent.svg,,94
lightly,['https://codecov.io/gh/lightly-ai/lightly/branch/master/graph/badge.svg?token=1NEAVROK3W)'],https://codecov.io/gh/lightly-ai/lightly/branch/master/graph/badge.svg,,89
pattern,['https://img.shields.io/coveralls/clips/pattern/master.svg?style=flat)](https://coveralls.io/github/clips/pattern?branch=master)'],https://img.shields.io/coveralls/clips/pattern/master.svg,,68
konlpy,"['https://img.shields.io/coveralls/konlpy/konlpy.svg', 'https://coveralls.io/r/konlpy/konlpy']",https://img.shields.io/coveralls/konlpy/konlpy.svg,,58
pyss3,['https://codecov.io/gh/sergioburdisso/pyss3/branch/master/graph/badge.svg)](https://codecov.io/gh/sergioburdisso/pyss3)'],https://codecov.io/gh/sergioburdisso/pyss3/branch/master/graph/badge.svg,,92
PyStanfordDependencies,"['https://coveralls.io/repos/dmcc/PyStanfordDependencies/badge.png?branch=master', 'https://coveralls.io/r/dmcc/PyStanfordDependencies?branch=master']",https://coveralls.io/repos/dmcc/PyStanfordDependencies/badge.png,,96
jellyfish,['https://coveralls.io/repos/jamesturk/jellyfish/badge.png?branch=master)](https://coveralls.io/r/jamesturk/jellyfish)'],https://coveralls.io/repos/jamesturk/jellyfish/badge.png,,100
cltk,"['https://codecov.io/gh/cltk/cltk/branch/master/graph/badge.svg', 'https://codecov.io/gh/cltk/cltk']",https://codecov.io/gh/cltk/cltk/branch/master/graph/badge.svg,,90
rasa,['https://api.codeclimate.com/v1/badges/756dc6fea1d5d3e127f7/test_coverage)](https://codeclimate.com/github/RasaHQ/rasa/)'],https://api.codeclimate.com/v1/badges/756dc6fea1d5d3e127f7/test_coverage,,89
dedupe,['https://github.com/dedupeio/dedupe/workflows/tests/badge.svg)](https://github.com/dedupeio/dedupe/actions?query=workflow%3Atests)[![Coverage Status](https://coveralls.io/repos/github/dedupeio/dedupe/badge.svg)](https://coveralls.io/github/dedupeio/dedupe)'],https://coveralls.io/repos/github/dedupeio/dedupe/badge.svg,,65
snips_nlu,"['https://codecov.io/gh/snipsco/snips-nlu/branch/master/graph/badge.svg', 'https://codecov.io/gh/snipsco/snips-nlu']",https://codecov.io/gh/snipsco/snips-nlu/branch/master/graph/badge.svg,,89
rexmex,['https://codecov.io/gh/AstraZeneca/rexmex/branch/main/graph/badge.svg?token=cYgAejRA0Z)](https://codecov.io/gh/AstraZeneca/rexmex)'],https://codecov.io/gh/AstraZeneca/rexmex/branch/main/graph/badge.svg,,99
chemicalx,"['https://codecov.io/gh/AstraZeneca/chemicalx/branch/main/graph/badge.svg', 'https://codecov.io/github/AstraZeneca/chemicalx?branch=main']",https://codecov.io/gh/AstraZeneca/chemicalx/branch/main/graph/badge.svg,,95
microsoft_ml_for_apache_spark,['https://msdata.visualstudio.com/A365/_apis/build/status/microsoft.SynapseML?branchName=master)](https://msdata.visualstudio.com/A365/_build/latest?definitionId=17563&branchName=master) [![codecov](https://codecov.io/gh/Microsoft/SynapseML/branch/master/graph/badge.svg)](https://codecov.io/gh/Microsoft/SynapseML) [![Code style: black](https://img.shields.io/badge/code%20style-black-000000.svg)](https://github.com/psf/black)                                                                                                                                 |'],https://codecov.io/gh/Microsoft/SynapseML/branch/master/graph/badge.svg,,86
shapley,"['https://codecov.io/gh/benedekrozemberczki/shapley/branch/master/graph/badge.svg', 'https://codecov.io/github/benedekrozemberczki/shapley?branch=master']",https://codecov.io/gh/benedekrozemberczki/shapley/branch/master/graph/badge.svg,,100
pytorch_geometric_temporal,"['https://codecov.io/gh/benedekrozemberczki/pytorch_geometric_temporal/branch/master/graph/badge.svg', 'https://codecov.io/github/benedekrozemberczki/pytorch_geometric_temporal?branch=master']",https://codecov.io/gh/benedekrozemberczki/pytorch_geometric_temporal/branch/master/graph/badge.svg,,99
little_ball_of_fur,['https://badge.fury.io/py/littleballoffur.svg?style=plastic) [![repo size](https://img.shields.io/github/repo-size/benedekrozemberczki/littleballoffur.svg)](https://github.com/benedekrozemberczki/littleballoffur/archive/master.zip) [![Arxiv](https://img.shields.io/badge/ArXiv-2006.04311-orange.svg)](https://arxiv.org/abs/2006.04311) [![build badge](https://github.com/benedekrozemberczki/littleballoffur/workflows/CI/badge.svg)](https://github.com/benedekrozemberczki/littleballoffur/actions?query=workflow%3ACI) [![coverage badge](https://codecov.io/gh/benedekrozemberczki/littleballoffur/branch/master/graph/badge.svg)](https://codecov.io/github/benedekrozemberczki/littleballoffur?branch=master) [![benedekrozemberczki](https://img.shields.io/twitter/follow/benrozemberczki?style=social&logo=twitter)](https://twitter.com/intent/follow?screen_name=benrozemberczki)'],https://codecov.io/gh/benedekrozemberczki/littleballoffur/branch/master/graph/badge.svg,,99
karate_club,['https://codecov.io/gh/benedekrozemberczki/karateclub/branch/master/graph/badge.svg)](https://codecov.io/github/benedekrozemberczki/karateclub?branch=master)'],https://codecov.io/gh/benedekrozemberczki/karateclub/branch/master/graph/badge.svg,,97
pyod,"['https://coveralls.io/repos/github/yzhao062/pyod/badge.svg', 'https://coveralls.io/github/yzhao062/pyod']",https://coveralls.io/repos/github/yzhao062/pyod/badge.svg,,94
