"name","type","fullname","ncloc","ncloc_language_distribution","complexity","duplicated_lines_density","cognitive_complexity","code_smells","sqale_rating","sqale_index","bugs","violations","reliability_rating","vulnerabilities","security_rating","alert_status","reliability_remediation_effort"
"Scikit-Image","Computer Vision","scikit-image/scikit-image","51136","py=51136","6588","1.5","5211","603","1.0","3642","26","629","5.0","0","1.0","OK","108"
"Scikit-Opt","Computer Vision","guofei9987/scikit-opt","1755","py=1755","319","2.1","242","107","1.0","443","2","109","2.0","0","1.0","OK","10"
"SimpleCV","Computer Vision","sightmachine/SimpleCV","26344","py=26344","5461","9.9","6365","3494","1.0","16544","23","3517","5.0","0","1.0","OK","153"
"OpenFace","Computer Vision","cmusatyalab/openface","3079","py=3079","423","5.3","640","375","1.0","1770","0","375","1.0","0","1.0","OK","0"
"PCV","Computer Vision","jesolem/PCV","3185","py=3185","548","76.5","411","307","1.0","1366","0","307","1.0","0","1.0","OK","0"
"face_recognition","Computer Vision","ageitgey/face_recognition","1473","py=1473","242","14.3","322","24","1.0","226","0","24","1.0","0","1.0","OK","0"
"deepface","Computer Vision","serengil/deepface","2932","py=2932","372","0.0","715","126","1.0","1220","1","127","3.0","0","1.0","OK","5"
"retinaface","Computer Vision","serengil/retinaface","712","py=712","59","0.0","61","9","1.0","50","1","10","3.0","0","1.0","OK","3"
"Detectron","Computer Vision","facebookresearch/Detectron","11721","py=11721","1704","0.4","1815","216","1.0","1569","1","217","3.0","0","1.0","OK","5"
"detectron2","Computer Vision","facebookresearch/detectron2","43444","py=43444","6653","3.4","6404","517","1.0","2822","3","520","5.0","0","1.0","OK","25"
"albumentations","Computer Vision","albu/albumentations","12340","py=12340","2096","2.5","1310","65","1.0","401","3","68","3.0","0","1.0","OK","12"
"pytessarct","Computer Vision","madmaze/pytesseract","827","py=827","126","0.0","110","4","1.0","29","0","4","1.0","0","1.0","OK","0"
"imutils","Computer Vision","jrosebr1/imutils","1112","py=1112","186","2.3","160","84","1.0","306","0","84","1.0","0","1.0","OK","0"
"PyTorchCV","Computer Vision","donnyyou/PyTorchCV","19401","py=19401","3654","17.1","4282","626","1.0","3476","17","643","5.0","0","1.0","OK","110"
"Self-supervised learning","Computer Vision","PytorchLightning/lightning-bolts","16795","py=16795","2433","6.9","1620","169","1.0","1074","0","169","1.0","0","1.0","OK","0"
"neural-style-pt","Computer Vision","ProGamerGov/neural-style-pt","588","py=588","132","0.0","181","21","1.0","171","0","21","1.0","0","1.0","OK","0"
"Detecto","Computer Vision","alankbi/detecto","746","py=746","153","0.0","173","14","1.0","91","0","14","1.0","0","1.0","OK","0"
"neural-dream","Computer Vision","ProGamerGov/neural-dream","1944","py=1944","595","2.1","1013","75","1.0","1358","1","76","3.0","0","1.0","OK","3"
"Deep High-Resolution-Net","Computer Vision","leoxiaobin/deep-high-resolution-net.pytorch","3419","py=3419","504","9.1","724","47","1.0","485","0","47","1.0","0","1.0","OK","0"
"dream-creator","Computer Vision","ProGamerGov/dream-creator","2145","py=2145","559","9.6","815","71","1.0","705","3","74","3.0","0","1.0","OK","35"
"Lucent","Computer Vision","greentfrapp/lucent","2146","py=2146","340","0.8","247","37","1.0","260","0","37","1.0","0","1.0","OK","0"
"lightly","Computer Vision","lightly-ai/lightly","30862","py=30862","6138","10.5","5292","197","1.0","1445","7","207","5.0","3","4.0","OK","44"
"Learnergy","Computer Vision","gugarosa/learnergy","3458","py=3458","558","10.0","392","113","1.0","612","0","113","1.0","0","1.0","OK","0"
"IoT Owl","Computer Vision","Ret2Me/IoT-Owl","510","py=510","97","63.0","295","49","1.0","351","2","51","3.0","0","1.0","OK","20"
"pkuseg-python","Natural Language Processing","lancopku/pkuseg-python","1509","py=1509","295","4.2","395","161","1.0","710","1","162","5.0","0","1.0","OK","10"
"NLTK","Natural Language Processing","nltk/nltk","77680","py=77680","16097","2.7","19188","1635","1.0","13483","29","1664","5.0","0","1.0","OK","188"
"Pattern","Natural Language Processing","clips/pattern","27891","py=27891","7926","3.3","7500","808","1.0","6102","10","818","5.0","0","1.0","OK","66"
