"name","type","fullname","stars","forks","open-issues","repo_size","commits"
"Scikit-Image","Computer Vision","scikit-image/scikit-image","5220","2096","668","110","13389"
"Scikit-Opt","Computer Vision","guofei9987/scikit-opt","3792","848","54","2","323"
"SimpleCV","Computer Vision","sightmachine/SimpleCV","2595","809","124","213","2625"
"OpenFace","Computer Vision","cmusatyalab/openface","14589","3598","12","46","734"
"PCV","Computer Vision","jesolem/PCV","1876","669","27","61","40"
"face_recognition","Computer Vision","ageitgey/face_recognition","47172","12735","697","117","238"
"deepface","Computer Vision","serengil/deepface","5447","1165","4","74","952"
"retinaface","Computer Vision","serengil/retinaface","536","91","4","22","141"
"Detectron","Computer Vision","facebookresearch/Detectron","25513","5486","325","10","141"
"detectron2","Computer Vision","facebookresearch/detectron2","23475","6405","337","91","1425"
"albumentations","Computer Vision","albu/albumentations","11494","1466","345","102","768"
"pytessarct","Computer Vision","madmaze/pytesseract","4625","636","23","6","516"
"imutils","Computer Vision","jrosebr1/imutils","4291","1018","151","15","139"
"PyTorchCV","Computer Vision","donnyyou/PyTorchCV","40","4","0","71","767"
"Self-supervised learning","Computer Vision","PytorchLightning/lightning-bolts","1464","303","63","10","654"
"neural-style-pt","Computer Vision","ProGamerGov/neural-style-pt","772","173","25","73","24"
"Detecto","Computer Vision","alankbi/detecto","580","103","43","58","142"
"neural-dream","Computer Vision","ProGamerGov/neural-dream","121","14","9","31","9"
"Deep High-Resolution-Net","Computer Vision","leoxiaobin/deep-high-resolution-net.pytorch","3959","888","200","24","56"
"dream-creator","Computer Vision","ProGamerGov/dream-creator","56","4","6","94","19"
"Lucent","Computer Vision","greentfrapp/lucent","525","70","16","41","166"
"lightly","Computer Vision","lightly-ai/lightly","2102","175","77","19","903"
"Learnergy","Computer Vision","gugarosa/learnergy","58","7","0","2","351"
"IoT Owl","Computer Vision","Ret2Me/IoT-Owl","6","1","0","42","5"
"pkuseg-python","Natural Language Processing","lancopku/pkuseg-python","6059","958","121","10","200"
"NLTK","Natural Language Processing","nltk/nltk","11465","2681","221","122","14427"
"Pattern","Natural Language Processing","clips/pattern","8407","1596","173","141","1434"
"Quepy","Natural Language Processing","machinalis/quepy","1242","300","28","1","150"
"TextBlob","Natural Language Processing","sloria/TextBlob","8422","1108","110","11","562"
"YAlign","Natural Language Processing","machinalis/yalign","127","31","11","99","238"
"jieba","Natural Language Processing","fxsjy/jieba","29899","6622","653","106","523"
"SnowNLP","Natural Language Processing","isnowfy/snownlp","5991","1353","42","151","57"
"spammy","Natural Language Processing","tasdikrahman/spammy","137","32","3","13","13"
"loso","Natural Language Processing","fangpenlin/loso","82","22","0","1","19"
"genius","Natural Language Processing","duanhongyi/genius","237","66","0","149","110"
"KoNLPy","Natural Language Processing","konlpy/konlpy","1299","333","129","63","611"
"nut","Natural Language Processing","pprett/nut","119","24","1","53","75"
"Rosetta","Natural Language Processing","columbia-applied-data-science/rosetta","207","47","16","3","275"
"PyNLPl","Natural Language Processing","proycon/pynlpl","458","65","3","17","2158"
"PySS3","Natural Language Processing","sergioburdisso/pyss3","288","37","5","170","400"
"python-ucto","Natural Language Processing","proycon/python-ucto","28","4","2","1","111"
"python-zpar","Natural Language Processing","EducationalTestingService/python-zpar","49","16","3","2","164"
"spaCy","Natural Language Processing","explosion/spaCy","25133","4021","96","209","15820"
"PyStanfordDependencies","Natural Language Processing","dmcc/PyStanfordDependencies","65","15","8","1","143"
"Distance","Natural Language Processing","doukremt/distance","113","14","10","1","27"
"Fuzzy Wuzzy","Natural Language Processing","seatgeek/fuzzywuzzy","8821","886","107","2","384"
"jellyfish","Natural Language Processing","jamesturk/jellyfish","1781","153","10","2","447"
"editdistance","Natural Language Processing","roy-ht/editdistance","578","52","18","1","98"
"textacy","Natural Language Processing","chartbeat-labs/textacy","2023","252","32","35","1716"
"stanford-corenlp-python","Natural Language Processing","dasmith/stanford-corenlp-python","610","231","47","1","101"
"CLTK","Natural Language Processing","cltk/cltk","761","312","29","129","3659"
"Rasa","Natural Language Processing","RasaHQ/rasa","15501","4221","105","1584","31080"
"yase","Natural Language Processing","PPACI/yase","12","0","0","1","36"
"Polyglot","Natural Language Processing","aboSamoor/polyglot","2113","315","161","2","271"
"DrQA","Natural Language Processing","facebookresearch/DrQA","4346","903","55","2","58"
"Dedupe","Natural Language Processing","dedupeio/dedupe","3619","496","68","8","3257"
"Snips NLU","Natural Language Processing","snipsco/snips-nlu","3748","521","63","23","2154"
"NeuroNER","Natural Language Processing","Franck-Dernoncourt/NeuroNER","1639","485","90","161","132"
"DeepPavlov","Natural Language Processing","deepmipt/DeepPavlov","6002","1075","78","51","2667"
"BigARTM","Natural Language Processing","bigartm/bigartm","636","118","137","52","1679"
"NALP","Natural Language Processing","gugarosa/nalp","22","6","0","5","343"
"DL Translate","Natural Language Processing","xhlulu/dl-translate","256","28","4","2","71"
"RexMex","General-Purpose Machine Learning","AstraZeneca/rexmex","259","22","5","7","509"
"ChemicalX","General-Purpose Machine Learning","AstraZeneca/chemicalx","606","74","7","83","317"
"Shapley","General-Purpose Machine Learning","benedekrozemberczki/shapley","190","31","0","2","355"
"igel","General-Purpose Machine Learning","nidhaloff/igel","3024","161","6","34","427"
"ML/DL project template","General-Purpose Machine Learning","PyTorchLightning/deep-learning-project-template","1062","247","14","1","92"
"PyTorch Geometric Temporal","General-Purpose Machine Learning","benedekrozemberczki/pytorch_geometric_temporal","1908","275","13","49","1928"
"Little Ball of Fur","General-Purpose Machine Learning","benedekrozemberczki/littleballoffur","621","44","1","18","1423"
"Karate Club","General-Purpose Machine Learning","benedekrozemberczki/karateclub","1812","229","0","123","2276"
"Auto_ViML","General-Purpose Machine Learning","AutoViML/Auto_ViML","412","84","4","6","301"
"PyOD","General-Purpose Machine Learning","yzhao062/pyod","6682","1230","161","44","1651"
"steppy","General-Purpose Machine Learning","neptune-ml/steppy","134","33","13","1","69"
"steppy-toolkit","General-Purpose Machine Learning","neptune-ml/steppy-toolkit","21","8","12","1","53"
"Couler","General-Purpose Machine Learning","couler-proj/couler","785","81","30","3","189"
"auto_ml","General-Purpose Machine Learning","ClimbsRocks/auto_ml","1599","313","187","3","1149"
