"category","name","link","description"
"Computer Vision","Scikit-Image","https://github.com/scikit-image/scikit-image","Scikit-Image - A collection of algorithms for image processing in Python."
"Computer Vision","Scikit-Opt","https://github.com/guofei9987/scikit-opt","Scikit-Opt - Swarm Intelligence in Python (Genetic Algorithm, Particle Swarm Optimization, Simulated Annealing, Ant Colony Algorithm, Immune Algorithm, Artificial Fish Swarm Algorithm in Python)"
"Computer Vision","SimpleCV","https://github.com/sightmachine/SimpleCV","SimpleCV - An open source computer vision framework that gives access to several high-powered computer vision libraries, such as OpenCV. Written on Python and runs on Mac, Windows, and Ubuntu Linux."
"Computer Vision","Vigranumpy","https://github.com/ukoethe/vigra","Vigranumpy - Python bindings for the VIGRA C++ computer vision library."
"Computer Vision","OpenFace","https://github.com/cmusatyalab/openface","OpenFace - Free and open source face recognition with deep neural networks."
"Computer Vision","PCV","https://github.com/jesolem/PCV","PCV - Open source Python module for computer vision. [Deprecated]"
"Computer Vision","face_recognition","https://github.com/ageitgey/face_recognition","face_recognition - Face recognition library that recognizes and manipulates faces from Python or from the command line."
"Computer Vision","deepface","https://github.com/serengil/deepface","deepface - A lightweight face recognition and facial attribute analysis (age, gender, emotion and race) framework for Python covering cutting-edge models such as VGG-Face, FaceNet, OpenFace, DeepFace, DeepID, Dlib and ArcFace."
"Computer Vision","retinaface","https://github.com/serengil/retinaface","retinaface - deep learning based cutting-edge facial detector for Python coming with facial landmarks"
"Computer Vision","dockerface","https://github.com/natanielruiz/dockerface","dockerface - Easy to install and use deep learning Faster R-CNN face detection for images and video in a docker container. [Deprecated]"
"Computer Vision","Detectron","https://github.com/facebookresearch/Detectron","Detectron - FAIR's software system that implements state-of-the-art object detection algorithms, including Mask R-CNN. It is written in Python and powered by the Caffe2 deep learning framework. [Deprecated]"
"Computer Vision","detectron2","https://github.com/facebookresearch/detectron2","detectron2 - FAIR's next-generation research platform for object detection and segmentation. It is a ground-up rewrite of the previous version, Detectron, and is powered by the PyTorch deep learning framework."
"Computer Vision","albumentations","https://github.com/albu/albumentations","albumentations - А fast and framework agnostic image augmentation library that implements a diverse set of augmentation techniques. Supports classification, segmentation, detection out of the box. Was used to win a number of Deep Learning competitions at Kaggle, Topcoder and those that were a part of the CVPR workshops."
"Computer Vision","pytessarct","https://github.com/madmaze/pytesseract","pytessarct - Python-tesseract is an optical character recognition (OCR) tool for python. That is, it will recognize and ""read"" the text embedded in images. Python-tesseract is a wrapper for Google's Tesseract-OCR Engine."
"Computer Vision","imutils","https://github.com/jrosebr1/imutils","imutils - A library containing Convenience functions to make basic image processing operations such as translation, rotation, resizing, skeletonization, and displaying Matplotlib images easier with OpenCV and Python."
"Computer Vision","PyTorchCV","https://github.com/donnyyou/PyTorchCV","PyTorchCV - A PyTorch-Based Framework for Deep Learning in Computer Vision."
"Computer Vision","Self-supervised learning","https://github.com/jason718/awesome-self-supervised-learning","Self-supervised learning"
"Computer Vision","neural-style-pt","https://github.com/ProGamerGov/neural-style-pt","neural-style-pt - A PyTorch implementation of Justin Johnson's neural-style (neural style transfer)."
"Computer Vision","Detecto","https://github.com/alankbi/detecto","Detecto - Train and run a computer vision model with 5-10 lines of code."
"Computer Vision","neural-dream","https://github.com/ProGamerGov/neural-dream","neural-dream - A PyTorch implementation of DeepDream."
"Computer Vision","Openpose","https://github.com/CMU-Perceptual-Computing-Lab/openpose","Openpose - A real-time multi-person keypoint detection library for body, face, hands, and foot estimation"
"Computer Vision","Deep High-Resolution-Net","https://github.com/leoxiaobin/deep-high-resolution-net.pytorch","Deep High-Resolution-Net - A PyTorch implementation of CVPR2019 paper ""Deep High-Resolution Representation Learning for Human Pose Estimation"""
"Computer Vision","dream-creator","https://github.com/ProGamerGov/dream-creator","dream-creator - A PyTorch implementation of DeepDream. Allows individuals to quickly and easily train their own custom GoogleNet models with custom datasets for DeepDream."
"Computer Vision","Lucent","https://github.com/greentfrapp/lucent","Lucent - Tensorflow and OpenAI Clarity's Lucid adapted for PyTorch."
"Computer Vision","lightly","https://github.com/lightly-ai/lightly","lightly - Lightly is a computer vision framework for self-supervised learning."
"Computer Vision","Learnergy","https://github.com/gugarosa/learnergy","Learnergy - Energy-based machine learning models built upon PyTorch."
"Computer Vision","OpenVisionAPI","https://github.com/openvisionapi","OpenVisionAPI - Open source computer vision API based on open source models."
"Computer Vision","IoT Owl","https://github.com/Ret2Me/IoT-Owl","IoT Owl - Light face detection and recognition system with huge possibilities, based on Microsoft Face API and TensorFlow made for small IoT devices like raspberry pi."
"Computer Vision","Exadel CompreFace","https://github.com/exadel-inc/CompreFace","Exadel CompreFace - face recognition system that can be easily integrated into any system without prior machine learning skills. CompreFace provides REST API for face recognition, face verification, face detection, face mask detection, landmark detection, age, and gender recognition and is easily deployed with docker."
"Computer Vision","computer-vision-in-action","https://github.com/Charmve/computer-vision-in-action","computer-vision-in-action - as known as L0CV, is a new generation of computer vision open source online learning media, a cross-platform interactive learning framework integrating graphics, source code and HTML. the L0CV ecosystem — Notebook, Datasets, Source Code, and from Diving-in to Advanced — as well as the L0CV Hub."
"Natural Language Processing","pkuseg-python","https://github.com/lancopku/pkuseg-python","pkuseg-python - A better version of Jieba, developed by Peking University."
"Natural Language Processing","NLTK","https://github.com/nltk/nltk","NLTK - A leading platform for building Python programs to work with human language data."
"Natural Language Processing","Pattern","https://github.com/clips/pattern","Pattern - A web mining module for the Python programming language. It has tools for natural language processing, machine learning, among others."
"Natural Language Processing","Quepy","https://github.com/machinalis/quepy","Quepy - A python framework to transform natural language questions to queries in a database query language."
"Natural Language Processing","TextBlob","https://github.com/sloria/TextBlob","TextBlob - Providing a consistent API for diving into common natural language processing (NLP) tasks. Stands on the giant shoulders of NLTK and Pattern, and plays nicely with both."
"Natural Language Processing","YAlign","https://github.com/machinalis/yalign","YAlign - A sentence aligner, a friendly tool for extracting parallel sentences from comparable corpora. [Deprecated]"
"Natural Language Processing","jieba","https://github.com/fxsjy/jieba#jieba-1","jieba - Chinese Words Segmentation Utilities."
"Natural Language Processing","SnowNLP","https://github.com/isnowfy/snownlp","SnowNLP - A library for processing Chinese text."
"Natural Language Processing","spammy","https://github.com/tasdikrahman/spammy","spammy - A library for email Spam filtering built on top of NLTK"
"Natural Language Processing","loso","https://github.com/fangpenlin/loso","loso - Another Chinese segmentation library. [Deprecated]"
"Natural Language Processing","genius","https://github.com/duanhongyi/genius","genius - A Chinese segment based on Conditional Random Field."
"Natural Language Processing","KoNLPy","https://github.com/konlpy/konlpy","KoNLPy - A Python package for Korean natural language processing."
"Natural Language Processing","nut","https://github.com/pprett/nut","nut - Natural language Understanding Toolkit. [Deprecated]"
"Natural Language Processing","Rosetta","https://github.com/columbia-applied-data-science/rosetta","Rosetta - Text processing tools and wrappers (e.g. Vowpal Wabbit)"
"Natural Language Processing","BLLIP Parser","https://github.com/dmcc/bllip-parser","BLLIP Parser - Python bindings for the BLLIP Natural Language Parser (also known as the Charniak-Johnson parser). [Deprecated]"
