severity	updateDate	comments	line	author	rule	project	effort	message	creationDate	type	quickFixAvailable	tags	component	flows	scope	textRange	debt	key	hash	status
MAJOR	2022-09-15T17:32:52-0300		247.0	office@enlite.ai	python:S1515	Maze	30min	"Add a parameter to the parent lambda function and use variable ""runner"" as its default value; The value of ""runner"" might change at the next loop iteration."	2021-12-13T12:30:15-0300	CODE_SMELL	false	"suspicious / "	Maze:maze/api/run_context.py	"{locations=[{component=Maze:maze/api/run_context.py, textRange={startLine=247.0, endLine=247.0, startOffset=30.0, endOffset=36.0}, msg=Lambda capturing the variable}]} / {locations=[{component=Maze:maze/api/run_context.py, textRange={startLine=245.0, endLine=245.0, startOffset=32.0, endOffset=38.0}, msg=Assignment in the loop}]} / "	MAIN	{startLine=247.0, endLine=247.0, startOffset=38.0, endOffset=44.0}	30min	AYNC2zQoop39vzmIoiCS	197cc5af94182082d5e29ed0ec5ba245	OPEN
CRITICAL	2022-09-15T17:32:52-0300		78.0	office@enlite.ai	python:S3776	Maze	15min	Refactor this function to reduce its Cognitive Complexity from 25 to the 15 allowed.	2021-12-13T12:30:15-0300	CODE_SMELL	false	"brain-overload / "	Maze:maze/core/rollout/rollout_generator.py	"{locations=[{component=Maze:maze/core/rollout/rollout_generator.py, textRange={startLine=92.0, endLine=92.0, startOffset=8.0, endOffset=10.0}, msg=+1}]} / {locations=[{component=Maze:maze/core/rollout/rollout_generator.py, textRange={startLine=96.0, endLine=96.0, startOffset=65.0, endOffset=67.0}, msg=+1}]} / {locations=[{component=Maze:maze/core/rollout/rollout_generator.py, textRange={startLine=100.0, endLine=100.0, startOffset=8.0, endOffset=10.0}, msg=+1}]} / {locations=[{component=Maze:maze/core/rollout/rollout_generator.py, textRange={startLine=105.0, endLine=105.0, startOffset=8.0, endOffset=13.0}, msg=+1}]} / {locations=[{component=Maze:maze/core/rollout/rollout_generator.py, textRange={startLine=110.0, endLine=110.0, startOffset=12.0, endOffset=17.0}, msg=+2 (incl 1 for nesting)}]} / {locations=[{component=Maze:maze/core/rollout/rollout_generator.py, textRange={startLine=114.0, endLine=114.0, startOffset=16.0, endOffset=18.0}, msg=+3 (incl 2 for nesting)}]} / {locations=[{component=Maze:maze/core/rollout/rollout_generator.py, textRange={startLine=117.0, endLine=117.0, startOffset=12.0, endOffset=14.0}, msg=+2 (incl 1 for nesting)}]} / {locations=[{component=Maze:maze/core/rollout/rollout_generator.py, textRange={startLine=120.0, endLine=120.0, startOffset=12.0, endOffset=14.0}, msg=+2 (incl 1 for nesting)}]} / {locations=[{component=Maze:maze/core/rollout/rollout_generator.py, textRange={startLine=120.0, endLine=120.0, startOffset=68.0, endOffset=71.0}, msg=+1}]} / {locations=[{component=Maze:maze/core/rollout/rollout_generator.py, textRange={startLine=125.0, endLine=125.0, startOffset=12.0, endOffset=14.0}, msg=+2 (incl 1 for nesting)}]} / {locations=[{component=Maze:maze/core/rollout/rollout_generator.py, textRange={startLine=127.0, endLine=127.0, startOffset=16.0, endOffset=19.0}, msg=+3 (incl 2 for nesting)}]} / {locations=[{component=Maze:maze/core/rollout/rollout_generator.py, textRange={startLine=134.0, endLine=134.0, startOffset=12.0, endOffset=14.0}, msg=+2 (incl 1 for nesting)}]} / {locations=[{component=Maze:maze/core/rollout/rollout_generator.py, textRange={startLine=134.0, endLine=134.0, startOffset=23.0, endOffset=26.0}, msg=+1}]} / {locations=[{component=Maze:maze/core/rollout/rollout_generator.py, textRange={startLine=138.0, endLine=138.0, startOffset=12.0, endOffset=14.0}, msg=+2 (incl 1 for nesting)}]} / {locations=[{component=Maze:maze/core/rollout/rollout_generator.py, textRange={startLine=138.0, endLine=138.0, startOffset=65.0, endOffset=68.0}, msg=+1}]} / "	MAIN	{startLine=78.0, endLine=78.0, startOffset=8.0, endOffset=15.0}	15min	AYNC2zP_op39vzmIoiCG	b170dc088821fa1e31150369648c88d6	OPEN
CRITICAL	2022-09-15T17:32:52-0300		341.0	office@enlite.ai	python:S3776	Maze	8min	Refactor this function to reduce its Cognitive Complexity from 18 to the 15 allowed.	2021-12-13T12:30:15-0300	CODE_SMELL	false	"brain-overload / "	Maze:maze/core/trajectory_recording/datasets/in_memory_dataset.py	"{locations=[{component=Maze:maze/core/trajectory_recording/datasets/in_memory_dataset.py, textRange={startLine=352.0, endLine=352.0, startOffset=32.0, endOffset=34.0}, msg=+1}]} / {locations=[{component=Maze:maze/core/trajectory_recording/datasets/in_memory_dataset.py, textRange={startLine=353.0, endLine=353.0, startOffset=12.0, endOffset=15.0}, msg=+1}]} / {locations=[{component=Maze:maze/core/trajectory_recording/datasets/in_memory_dataset.py, textRange={startLine=356.0, endLine=356.0, startOffset=16.0, endOffset=18.0}, msg=+2 (incl 1 for nesting)}]} / {locations=[{component=Maze:maze/core/trajectory_recording/datasets/in_memory_dataset.py, textRange={startLine=356.0, endLine=356.0, startOffset=56.0, endOffset=58.0}, msg=+1}]} / {locations=[{component=Maze:maze/core/trajectory_recording/datasets/in_memory_dataset.py, textRange={startLine=357.0, endLine=357.0, startOffset=20.0, endOffset=23.0}, msg=+3 (incl 2 for nesting)}]} / {locations=[{component=Maze:maze/core/trajectory_recording/datasets/in_memory_dataset.py, textRange={startLine=358.0, endLine=358.0, startOffset=24.0, endOffset=27.0}, msg=+4 (incl 3 for nesting)}]} / {locations=[{component=Maze:maze/core/trajectory_recording/datasets/in_memory_dataset.py, textRange={startLine=361.0, endLine=361.0, startOffset=16.0, endOffset=20.0}, msg=+1}]} / {locations=[{component=Maze:maze/core/trajectory_recording/datasets/in_memory_dataset.py, textRange={startLine=362.0, endLine=362.0, startOffset=20.0, endOffset=23.0}, msg=+3 (incl 2 for nesting)}]} / {locations=[{component=Maze:maze/core/trajectory_recording/datasets/in_memory_dataset.py, textRange={startLine=364.0, endLine=364.0, startOffset=16.0, endOffset=20.0}, msg=+1}]} / {locations=[{component=Maze:maze/core/trajectory_recording/datasets/in_memory_dataset.py, textRange={startLine=369.0, endLine=369.0, startOffset=8.0, endOffset=14.0}, msg=+1}]} / "	MAIN	{startLine=341.0, endLine=341.0, startOffset=8.0, endOffset=11.0}	8min	AYNC2zOvop39vzmIoiB-	032cb2a26bb601947962e9b3651e97c8	OPEN
MAJOR	2022-09-15T17:32:52-0300		113.0	office@enlite.ai	python:S5796	Maze	5min	"Replace this ""is"" operator with ""==""."	2021-12-13T12:30:15-0300	BUG	false		Maze:maze/core/trajectory_recording/datasets/trajectory_processor.py		MAIN	{startLine=113.0, endLine=113.0, startOffset=76.0, endOffset=78.0}	5min	AYNC2zOrop39vzmIoiB7	49511cdbf78ab52380308e4278e26aed	OPEN
MAJOR	2022-09-15T17:32:52-0300		113.0	office@enlite.ai	python:S5796	Maze	5min	"Replace this ""is"" operator with ""==""."	2021-12-13T12:30:15-0300	BUG	false		Maze:maze/core/trajectory_recording/datasets/trajectory_processor.py		MAIN	{startLine=113.0, endLine=113.0, startOffset=105.0, endOffset=107.0}	5min	AYNC2zOrop39vzmIoiB8	49511cdbf78ab52380308e4278e26aed	OPEN
CRITICAL	2022-09-15T17:32:52-0300		141.0	office@enlite.ai	python:S3776	Maze	8min	Refactor this function to reduce its Cognitive Complexity from 18 to the 15 allowed.	2021-12-13T12:30:15-0300	CODE_SMELL	false	"brain-overload / "	Maze:maze/core/trajectory_recording/datasets/trajectory_processor.py	"{locations=[{component=Maze:maze/core/trajectory_recording/datasets/trajectory_processor.py, textRange={startLine=155.0, endLine=155.0, startOffset=8.0, endOffset=11.0}, msg=+1}]} / {locations=[{component=Maze:maze/core/trajectory_recording/datasets/trajectory_processor.py, textRange={startLine=158.0, endLine=158.0, startOffset=12.0, endOffset=14.0}, msg=+2 (incl 1 for nesting)}]} / {locations=[{component=Maze:maze/core/trajectory_recording/datasets/trajectory_processor.py, textRange={startLine=163.0, endLine=163.0, startOffset=16.0, endOffset=18.0}, msg=+3 (incl 2 for nesting)}]} / {locations=[{component=Maze:maze/core/trajectory_recording/datasets/trajectory_processor.py, textRange={startLine=163.0, endLine=163.0, startOffset=50.0, endOffset=52.0}, msg=+1}]} / {locations=[{component=Maze:maze/core/trajectory_recording/datasets/trajectory_processor.py, textRange={startLine=164.0, endLine=164.0, startOffset=20.0, endOffset=22.0}, msg=+4 (incl 3 for nesting)}]} / {locations=[{component=Maze:maze/core/trajectory_recording/datasets/trajectory_processor.py, textRange={startLine=166.0, endLine=166.0, startOffset=20.0, endOffset=24.0}, msg=+1}]} / {locations=[{component=Maze:maze/core/trajectory_recording/datasets/trajectory_processor.py, textRange={startLine=177.0, endLine=177.0, startOffset=12.0, endOffset=16.0}, msg=+1}]} / {locations=[{component=Maze:maze/core/trajectory_recording/datasets/trajectory_processor.py, textRange={startLine=180.0, endLine=180.0, startOffset=12.0, endOffset=14.0}, msg=+2 (incl 1 for nesting)}]} / {locations=[{component=Maze:maze/core/trajectory_recording/datasets/trajectory_processor.py, textRange={startLine=181.0, endLine=181.0, startOffset=16.0, endOffset=19.0}, msg=+3 (incl 2 for nesting)}]} / "	MAIN	{startLine=141.0, endLine=141.0, startOffset=8.0, endOffset=35.0}	8min	AYNC2zOrop39vzmIoiB9	15db27c0a55578dd25b95f881d3f475e	OPEN
CRITICAL	2022-09-15T17:32:52-0300		98.0	office@enlite.ai	python:S3776	Maze	9min	Refactor this function to reduce its Cognitive Complexity from 19 to the 15 allowed.	2021-12-13T12:30:15-0300	CODE_SMELL	false	"brain-overload / "	Maze:maze/perception/models/custom_model_composer.py	"{locations=[{component=Maze:maze/perception/models/custom_model_composer.py, textRange={startLine=105.0, endLine=105.0, startOffset=8.0, endOffset=11.0}, msg=+1}]} / {locations=[{component=Maze:maze/perception/models/custom_model_composer.py, textRange={startLine=107.0, endLine=107.0, startOffset=12.0, endOffset=15.0}, msg=+2 (incl 1 for nesting)}]} / {locations=[{component=Maze:maze/perception/models/custom_model_composer.py, textRange={startLine=108.0, endLine=108.0, startOffset=16.0, endOffset=18.0}, msg=+3 (incl 2 for nesting)}]} / {locations=[{component=Maze:maze/perception/models/custom_model_composer.py, textRange={startLine=108.0, endLine=108.0, startOffset=110.0, endOffset=112.0}, msg=+1}]} / {locations=[{component=Maze:maze/perception/models/custom_model_composer.py, textRange={startLine=108.0, endLine=108.0, startOffset=110.0, endOffset=112.0}, msg=+1}]} / {locations=[{component=Maze:maze/perception/models/custom_model_composer.py, textRange={startLine=112.0, endLine=112.0, startOffset=16.0, endOffset=20.0}, msg=+1}]} / {locations=[{component=Maze:maze/perception/models/custom_model_composer.py, textRange={startLine=119.0, endLine=119.0, startOffset=12.0, endOffset=14.0}, msg=+2 (incl 1 for nesting)}]} / {locations=[{component=Maze:maze/perception/models/custom_model_composer.py, textRange={startLine=122.0, endLine=122.0, startOffset=16.0, endOffset=19.0}, msg=+3 (incl 2 for nesting)}]} / {locations=[{component=Maze:maze/perception/models/custom_model_composer.py, textRange={startLine=123.0, endLine=123.0, startOffset=20.0, endOffset=22.0}, msg=+4 (incl 3 for nesting)}]} / {locations=[{component=Maze:maze/perception/models/custom_model_composer.py, textRange={startLine=125.0, endLine=125.0, startOffset=20.0, endOffset=24.0}, msg=+1}]} / "	MAIN	{startLine=98.0, endLine=98.0, startOffset=8.0, endOffset=38.0}	9min	AYNC2zGcop39vzmIoh-v	78768f08e6838968872a79536ff2f7ab	OPEN
CRITICAL	2022-09-15T17:32:52-0300		162.0	office@enlite.ai	python:S1192	Maze	22min	"Define a constant instead of duplicating this literal ""runner.concurrency"" 11 times."	2021-12-13T12:30:15-0300	CODE_SMELL	false	"design / "	Maze:maze/test/api/test_python_api.py	"{locations=[{component=Maze:maze/test/api/test_python_api.py, textRange={startLine=391.0, endLine=391.0, startOffset=12.0, endOffset=32.0}, msg=Duplication}]} / {locations=[{component=Maze:maze/test/api/test_python_api.py, textRange={startLine=430.0, endLine=430.0, startOffset=60.0, endOffset=80.0}, msg=Duplication}]} / {locations=[{component=Maze:maze/test/api/test_python_api.py, textRange={startLine=581.0, endLine=581.0, startOffset=25.0, endOffset=45.0}, msg=Duplication}]} / {locations=[{component=Maze:maze/test/api/test_python_api.py, textRange={startLine=662.0, endLine=662.0, startOffset=54.0, endOffset=74.0}, msg=Duplication}]} / {locations=[{component=Maze:maze/test/api/test_python_api.py, textRange={startLine=698.0, endLine=698.0, startOffset=60.0, endOffset=80.0}, msg=Duplication}]} / {locations=[{component=Maze:maze/test/api/test_python_api.py, textRange={startLine=734.0, endLine=734.0, startOffset=51.0, endOffset=71.0}, msg=Duplication}]} / {locations=[{component=Maze:maze/test/api/test_python_api.py, textRange={startLine=747.0, endLine=747.0, startOffset=51.0, endOffset=71.0}, msg=Duplication}]} / {locations=[{component=Maze:maze/test/api/test_python_api.py, textRange={startLine=758.0, endLine=758.0, startOffset=54.0, endOffset=74.0}, msg=Duplication}]} / {locations=[{component=Maze:maze/test/api/test_python_api.py, textRange={startLine=794.0, endLine=794.0, startOffset=19.0, endOffset=39.0}, msg=Duplication}]} / {locations=[{component=Maze:maze/test/api/test_python_api.py, textRange={startLine=808.0, endLine=808.0, startOffset=12.0, endOffset=32.0}, msg=Duplication}]} / "	MAIN	{startLine=162.0, endLine=162.0, startOffset=12.0, endOffset=32.0}	22min	AYNC2zLlop39vzmIoiBV	ec50f81c865361bff1ea599a66df46b8	OPEN
MINOR	2022-09-15T17:32:52-0300		49.0	office@enlite.ai	python:S1481	Maze	5min	"Remove the unused local variable ""i""."	2021-12-13T12:30:15-0300	CODE_SMELL	false	"unused / "	Maze:maze/test/core/test_agent_deployment.py		MAIN	{startLine=49.0, endLine=49.0, startOffset=8.0, endOffset=9.0}	5min	AYNC2zJ_op39vzmIoiAu	3c3d20011678f0e7d5ba8e407a4c9086	OPEN
MINOR	2022-09-15T17:32:52-0300		95.0	office@enlite.ai	python:S1481	Maze	5min	"Remove the unused local variable ""i""."	2021-12-13T12:30:15-0300	CODE_SMELL	false	"unused / "	Maze:maze/test/core/test_agent_deployment.py		MAIN	{startLine=95.0, endLine=95.0, startOffset=8.0, endOffset=9.0}	5min	AYNC2zJ_op39vzmIoiAv	3c3d20011678f0e7d5ba8e407a4c9086	OPEN
